ID,PX_MID,TRADING_DT_REALTIME,SETTLE_DT,OPT_EXPIRE_DT,TODAY_DT,BASE_CRNCY,CRNCY,VOL_CURRENCY_ISO_PAIR,OPT_DAYS_EXPIRE,VOL_INSTRUMENT_TYPE,SECURITY_TENOR_ONE,VOL_DELTA
EURUSD10R5Y BGN Curncy,-3.0225,26/2/2013,28/2/2018,26/2/2018,26/2/2013,EUR,USD,EURUSD,1826,RR,5Y,10D
EURUSD10BON BGN Curncy,0.9275,26/2/2013,27/2/2013,27/2/2013,26/2/2013,EUR,USD,EURUSD,1,BF,1D,10D
EURUSD10B1W BGN Curncy,0.36,26/2/2013,7/3/2013,5/3/2013,26/2/2013,EUR,USD,EURUSD,7,BF,1W,10D
EURUSD10B2W BGN Curncy,0.37,26/2/2013,14/3/2013,12/3/2013,26/2/2013,EUR,USD,EURUSD,14,BF,2W,10D
EURUSD10B3W BGN Curncy,0.405,26/2/2013,21/3/2013,19/3/2013,26/2/2013,EUR,USD,EURUSD,21,BF,3W,10D
EURUSD10B1M BGN Curncy,0.465,26/2/2013,28/3/2013,26/3/2013,26/2/2013,EUR,USD,EURUSD,28,BF,1M,10D
EURUSD10B2M BGN Curncy,0.56,26/2/2013,30/4/2013,26/4/2013,26/2/2013,EUR,USD,EURUSD,59,BF,2M,10D
EURUSD10B3M BGN Curncy,0.6275,26/2/2013,31/5/2013,29/5/2013,26/2/2013,EUR,USD,EURUSD,92,BF,3M,10D
EURUSD10B6M BGN Curncy,0.94,26/2/2013,30/8/2013,28/8/2013,26/2/2013,EUR,USD,EURUSD,183,BF,6M,10D
EURUSD10B1Y BGN Curncy,1.14,26/2/2013,28/2/2014,26/2/2014,26/2/2013,EUR,USD,EURUSD,365,BF,1Y,10D
EURUSD10B18M BGN Curncy,1.1475,26/2/2013,29/8/2014,27/8/2014,26/2/2013,EUR,USD,EURUSD,547,BF,18M,10D
EURUSD10B2Y BGN Curncy,1.07,26/2/2013,27/2/2015,25/2/2015,26/2/2013,EUR,USD,EURUSD,729,BF,2Y,10D
EURUSD10B3Y BGN Curncy,1.04,26/2/2013,29/2/2016,25/2/2016,26/2/2013,EUR,USD,EURUSD,1094,BF,3Y,10D
EURUSD10B5Y BGN Curncy,0.94,26/2/2013,28/2/2018,26/2/2018,26/2/2013,EUR,USD,EURUSD,1826,BF,5Y,10D
